"team","conference","ab","pa","r","h","2b","3b","hr","rbi","tb","k","bb","hbp","sf","sh","cs","sb","dp","avg","obp","slg","ops","iso","babip","woba","k%","bb%","hr%","rc"
"Adrian","MIAA","1551","1870","339","483","101","17","15","291","663","295","210","58","16","35","12","52","35",".311",".409",".427",".836",".116",".372",".367",".158",".112",".008","290.86"
"Albertus Magnus","Great Northeast","863","1003","160","256","34","13","17","144","367","171","101","22","9","8","14","74","20",".297",".381",".425",".806",".129",".349",".355",".170",".101",".017","151.82"
"Albion","MIAA","1259","1424","158","314","57","17","16","141","453","313","102","34","12","17","13","38","28",".249",".320",".360",".680",".110",".316",".300",".220",".072",".011","148.97"
"Albright","MAC Commonwealth","1024","1183","176","269","52","4","12","153","365","190","119","19","12","9","11","44","20",".263",".347",".356",".703",".094",".308",".315",".161",".101",".010","138.47"
"Alfred St.","AMCC","1212","1393","184","296","65","5","17","154","422","272","108","45","10","18","25","53","25",".244",".327",".348",".675",".104",".299",".301",".195",".078",".012","142.00"
"Allegheny","NCAC","1278","1538","244","366","78","10","11","216","497","262","154","58","21","27","23","34","32",".286",".383",".389",".772",".103",".346",".341",".170",".100",".007","201.61"
"Alma","MIAA","1356","1601","254","376","81","11","21","231","542","304","169","40","20","16","16","43","12",".277",".369",".400",".769",".122",".338",".340",".190",".106",".013","218.42"
"Alvernia","MAC Commonwealth","1340","1591","256","392","68","14","18","217","542","201","163","24","19","45","11","39","25",".293",".375",".404",".779",".112",".328",".337",".126",".102",".011","219.79"
"Amherst","NESCAC","1279","1507","242","377","69","7","11","200","493","222","160","25","24","19","17","61","20",".295",".378",".385",".763",".091",".342",".337",".147",".106",".007","207.82"
"Anderson (IN)","HCAC","1578","1890","334","483","111","19","12","287","668","302","210","59","18","25","17","105","25",".306",".403",".423",".826",".117",".367",".364",".160",".111",".006","298.12"
"Anna Maria","Great Northeast","1189","1415","198","327","65","3","12","168","434","267","140","52","8","26","18","15","17",".275",".374",".365",".739",".090",".343",".330",".189",".099",".008","175.41"
"Arcadia","MAC Commonwealth","1618","1927","384","537","98","15","29","338","752","227","179","71","29","30","29","87","36",".332",".415",".465",".880",".133",".365",".382",".118",".093",".015","325.04"
"Augsburg","MIAC","1162","1331","196","352","60","8","5","174","443","229","119","22","15","13","12","50","21",".303",".374",".381",".755",".078",".368",".335",".172",".089",".004","181.37"
"Augustana (IL)","CCIW","1390","1655","266","405","87","3","7","217","519","206","175","32","18","40","12","51","30",".291",".379",".373",".752",".082",".333",".331",".124",".106",".004","217.86"
"Aurora","NACC","1561","1826","313","477","87","12","13","268","627","268","171","39","32","23","22","80","20",".306",".381",".402",".783",".096",".354",".344",".147",".094",".007","264.58"
"Austin","SCAC","1017","1218","209","306","40","9","16","197","412","197","146","29","14","12","13","22","17",".301",".399",".405",".804",".104",".355",".357",".162",".120",".013","180.00"
"Averett","USA South","1286","1477","157","329","31","2","2","129","370","275","122","32","13","24","19","64","22",".256",".332",".288",".620",".032",".320",".281",".186",".083",".001","143.59"
"Babson","NEWMAC","1655","1980","366","509","108","11","36","322","747","281","223","62","30","10","19","73","28",".308",".403",".451",".854",".144",".346",".376",".142",".113",".018","321.10"
"Baldwin Wallace","OAC","1694","2019","392","529","108","12","43","357","790","284","217","73","21","14","16","110","38",".312",".408",".466",".874",".154",".350",".384",".141",".107",".021","341.79"
"Bard","Liberty League","1105","1317","182","320","50","19","4","161","420","243","131","47","12","22","11","64","25",".290",".385",".380",".765",".090",".363",".339",".185",".099",".003","182.70"
"Baruch","CUNYAC","1009","1201","175","272","53","8","8","157","365","205","127","47","12","6","10","16","32",".270",".373",".362",".735",".092",".327",".332",".171",".106",".007","145.59"
"Bates","NESCAC","1067","1269","149","253","37","4","3","127","307","263","146","31","9","16","15","27","18",".237",".343",".288",".631",".051",".309",".291",".207",".115",".002","122.18"
"Becker","NECC","1202","1382","190","309","57","7","11","168","413","270","126","32","19","3","18","81","24",".257",".339",".344",".683",".087",".317",".308",".195",".091",".008","156.13"
"Belhaven","ASC","1260","1444","205","341","63","6","22","184","482","279","108","40","16","20","16","80","20",".271",".343",".383",".726",".112",".327",".320",".193",".075",".015","180.50"
"Beloit","MWC","1276","1528","236","362","51","11","8","198","459","231","145","65","22","20","13","54","35",".284",".379",".360",".739",".076",".334",".331",".151",".095",".005","197.61"
"Benedictine (IL)","NACC","1348","1527","201","373","53","7","9","183","467","242","117","34","13","15","11","63","38",".277",".347",".346",".693",".070",".328",".310",".158",".077",".006","175.88"
"Berea","USA South","1095","1237","130","264","36","5","5","104","325","261","84","28","1","29","23","34","20",".241",".311",".297",".608",".056",".312",".272",".211",".068",".004","103.96"
"Berry","SAA","1460","1691","321","506","76","12","22","285","672","213","126","51","20","34","22","53","35",".347",".412",".460",".872",".114",".389",".377",".126",".075",".013","282.02"
"Bethany (WV)","PAC","1145","1317","204","324","53","12","6","178","419","145","113","29","13","17","11","43","29",".283",".358",".366",".724",".083",".316",".321",".110",".086",".005","162.85"
"Bethany Lutheran","UMAC","1139","1401","312","384","70","12","30","274","568","198","168","68","17","9","21","41","29",".337",".445",".499",".944",".162",".381",".413",".141",".120",".021","257.58"
"Bethel (MN)","MIAC","1352","1581","262","424","77","14","23","241","598","192","140","42","19","28","9","21","32",".314",".390",".442",".832",".129",".347",".361",".121",".089",".015","240.25"
"Birmingham-So.","SAA","1292","1545","266","371","65","4","28","216","528","224","177","37","16","23","18","49","29",".287",".384",".409",".793",".122",".325",".350",".145",".115",".018","217.52"
"Blackburn","SLIAC","1190","1354","198","322","52","6","25","181","461","244","106","38","8","12","19","38","23",".271",".347",".387",".734",".117",".320",".326",".180",".078",".018","165.30"
"Bluffton","HCAC","1278","1527","227","348","63","10","11","200","464","316","144","43","20","42","11","37","24",".272",".360",".363",".723",".091",".347",".317",".207",".094",".007","185.19"
"Bowdoin","NESCAC","1066","1244","179","291","44","8","15","161","396","253","108","39","10","21","16","40","10",".273",".358",".371",".729",".098",".342",".323",".203",".087",".012","156.75"
"Brandeis","UAA","895","1055","129","225","36","4","14","119","311","221","115","23","14","8","7","16","15",".251",".347",".347",".694",".096",".313",".313",".209",".109",".013","119.33"
"Brevard","USA South","1121","1277","140","290","48","3","6","128","362","227","101","23","12","20","8","30","28",".259",".329",".323",".652",".064",".316",".291",".178",".079",".005","127.73"
"Bridgewater (VA)","ODAC","1353","1585","262","388","76","7","30","241","568","277","147","51","13","21","10","41","26",".287",".375",".420",".795",".133",".338",".349",".175",".093",".019","224.48"
"Bridgewater St.","MASCAC","858","987","125","253","33","5","2","113","302","112","83","23","9","14","8","15","24",".295",".369",".352",".721",".057",".333",".322",".113",".084",".002","120.44"
"Brockport","SUNYAC","1246","1454","213","322","51","14","14","186","443","214","145","37","8","18","10","47","20",".258",".351",".356",".707",".097",".300",".316",".147",".100",".010","174.40"
"Buena Vista","American Rivers","1281","1469","229","366","74","17","12","204","510","256","129","32","14","13","13","47","32",".286",".362",".398",".760",".112",".345",".335",".174",".088",".008","192.58"
"Cabrini","Atlantic East","1231","1459","242","357","86","10","20","225","523","237","154","46","7","21","14","49","26",".290",".387",".425",".812",".135",".344",".357",".162",".106",".014","212.40"
"Cairn","CSAC","1078","1265","225","315","57","6","16","196","432","213","140","24","14","9","17","102","14",".292",".381",".401",".782",".109",".346",".348",".168",".111",".013","188.13"
"Cal Lutheran","SCIAC","1395","1643","286","434","91","6","8","259","561","207","149","55","28","16","18","58","31",".311",".392",".402",".794",".091",".353",".351",".126",".091",".005","238.29"
"Caltech","SCIAC","1099","1223","90","242","41","5","5","83","308","274","83","31","5","5","11","38","24",".220",".292",".280",".572",".060",".287",".262",".224",".068",".004","92.27"
"Calvin","MIAA","1323","1498","200","364","74","6","11","175","483","245","96","45","12","22","14","39","19",".275",".342",".365",".707",".090",".327",".313",".164",".064",".007","175.97"
"Capital","OAC","1319","1515","182","348","54","4","1","145","413","210","114","43","14","25","10","24","29",".264",".339",".313",".652",".049",".309",".293",".139",".075",".001","154.35"
"Carleton","MIAC","909","1051","121","250","33","4","3","103","300","163","98","21","6","17","8","36","32",".275",".357",".330",".687",".055",".330",".309",".155",".093",".003","116.80"
"Carroll (WI)","CCIW","1346","1577","264","409","68","12","18","237","555","224","162","31","25","13","7","34","24",".304",".385",".412",".797",".108",".346",".352",".142",".103",".011","232.30"
"Carthage","CCIW","1504","1727","316","449","80","20","36","289","677","261","144","47","17","15","7","16","27",".299",".374",".450",".824",".152",".337",".360",".151",".083",".021","258.72"
"Castleton","Little East","1235","1547","260","336","63","12","11","221","456","280","208","60","20","24","23","72","22",".272",".397",".369",".766",".097",".337",".344",".181",".134",".007","212.22"
"Catholic","Landmark","1556","1875","354","497","104","4","35","323","714","221","211","53","21","34","11","44","33",".319",".413",".459",".872",".139",".350",".379",".118",".113",".019","309.05"
"Cazenovia","NEAC","932","1069","134","247","31","3","12","105","320","200","78","25","6","28","9","27","22",".265",".336",".343",".679",".078",".324",".299",".187",".073",".011","114.63"
"CCNY","CUNYAC","986","1156","197","301","53","16","15","183","431","227","106","36","12","16","16","58","15",".305",".389",".437",".826",".132",".378",".361",".196",".092",".013","178.66"
"Centenary (LA)","SCAC","1363","1602","235","376","79","10","8","197","499","241","153","33","14","39","36","102","33",".276",".360",".366",".726",".090",".326",".319",".150",".096",".005","193.07"
"Centenary (NJ)","CSAC","969","1127","176","300","59","15","11","157","422","157","115","26","8","9","7","27","30",".310",".394",".436",".830",".126",".357",".365",".139",".102",".010","170.36"
"Central (IA)","American Rivers","1269","1480","224","356","73","14","16","189","505","250","126","57","15","13","15","49","18",".281",".367",".398",".765",".117",".334",".339",".169",".085",".011","200.69"
"Centre","SAA","1292","1511","212","366","59","4","13","184","472","264","140","38","20","21","20","56","28",".283",".365",".365",".730",".082",".341",".325",".175",".093",".009","188.63"
"Chapman","SCIAC","1610","1939","358","496","92","12","41","323","735","261","212","58","29","30","20","57","32",".308",".401",".457",".858",".148",".340",".373",".135",".109",".021","309.99"
"Chatham","PAC","990","1146","159","268","33","9","2","134","325","183","95","41","10","10","13","46","31",".271",".356",".328",".684",".058",".326",".310",".160",".083",".002","128.14"
"Chicago","MWC","1277","1532","314","404","72","10","14","267","538","165","156","54","22","23","11","55","24",".316",".407",".421",".828",".105",".348",".364",".108",".102",".009","241.69"
"Chris. Newport","CAC","1711","2095","397","527","107","13","49","362","807","318","259","68","22","35","10","86","26",".308",".415",".472",".887",".164",".350",".385",".152",".124",".023","360.22"
"Claremont-M-S","SCIAC","1397","1639","264","392","79","9","30","234","579","271","176","57","8","1","11","43","34",".281",".382",".414",".796",".134",".328",".356",".165",".107",".018","232.35"
"Clark (MA)","NEWMAC","1318","1517","253","389","67","20","18","234","550","254","132","35","21","11","19","45","26",".295",".369",".417",".786",".122",".348",".346",".167",".087",".012","212.17"
"Clarks Summit","CSAC","885","995","83","182","18","4","6","68","226","266","84","12","4","10","4","18","13",".206",".282",".255",".537",".050",".285",".247",".267",".084",".006","67.69"
"Clarkson","Liberty League","972","1123","142","255","41","10","6","124","334","168","93","23","14","21","8","23","26",".262",".337",".344",".681",".081",".307",".301",".150",".083",".005","120.06"
"CMSV","Skyline","1076","1268","169","264","46","7","5","132","339","223","128","42","8","14","10","61","27",".245",".346",".315",".661",".070",".303",".301",".176",".101",".004","135.31"
"Coast Guard","NEWMAC","994","1162","163","266","45","6","2","133","329","193","107","36","10","15","13","19","29",".268",".357",".331",".688",".063",".326",".310",".166",".092",".002","125.83"
"Cobleskill St.","NEAC","881","1003","116","217","44","8","0","93","277","192","74","30","8","10","17","38","15",".246",".323",".314",".637",".068",".311",".287",".191",".074",".000","95.85"
"Coe","American Rivers","1413","1633","246","407","96","9","9","213","548","244","119","54","23","24","20","47","29",".288",".360",".388",".748",".100",".336",".329",".149",".073",".006","207.27"
"Colby","NESCAC","964","1052","115","248","46","11","6","103","334","164","55","21","8","4","10","30","27",".257",".309",".346",".655",".089",".302",".291",".156",".052",".006","102.61"
"Colby-Sawyer","Great Northeast","842","967","111","214","46","3","0","89","266","163","72","28","12","13","10","23","30",".254",".329",".316",".645",".062",".310",".290",".169",".074",".000","89.60"
"Concordia (TX)","ASC","1599","1893","312","498","88","14","20","268","674","302","176","58","16","44","29","59","33",".311",".396",".422",".818",".110",".370",".356",".160",".093",".011","279.72"
"Concordia Chicago","NACC","1972","2315","417","620","113","26","23","356","854","315","226","67","34","16","31","154","62",".314",".397",".433",".830",".119",".358",".365",".136",".098",".010","361.10"
"Concordia Wisconsin","NACC","1388","1653","243","374","65","20","9","216","506","303","169","59","22","15","12","70","42",".269",".368",".365",".733",".095",".332",".328",".183",".102",".005","207.20"
"Concordia-M'head","MIAC","1092","1258","151","278","41","6","5","134","346","168","102","30","15","19","5","34","20",".255",".331",".317",".648",".062",".292",".290",".134",".081",".004","130.42"
"Cornell College","MWC","1246","1470","229","345","58","6","22","204","481","276","142","57","18","7","18","35","18",".277",".372",".386",".758",".109",".334",".340",".188",".097",".015","194.93"
"Covenant","USA South","1203","1402","210","327","61","14","20","187","476","321","148","24","16","11","12","50","23",".272",".359",".396",".755",".124",".350",".334",".229",".106",".014","183.15"
"Crown (MN)","UMAC","837","982","107","200","32","4","6","86","258","233","109","21","8","7","12","24","20",".239",".338",".308",".646",".069",".320",".296",".237",".111",".006","95.41"
"Curry","CCC","827","978","122","221","37","4","11","109","299","151","99","30","6","16","4","20","24",".267",".364",".362",".726",".094",".313",".324",".154",".101",".011","118.04"
"CWRU","UAA","1376","1610","271","402","91","10","23","234","582","250","135","60","27","12","14","93","22",".292",".374",".423",".797",".131",".335",".350",".155",".084",".014","237.94"
"D'Youville","AMCC","847","1010","144","229","49","9","8","124","320","175","113","24","12","14","6","18","18",".270",".367",".378",".745",".107",".327",".331",".173",".112",".008","127.89"
"Dallas","SCAC","1214","1461","234","346","63","9","16","205","475","256","152","53","20","22","15","61","19",".285",".383",".391",".774",".106",".343",".343",".175",".104",".011","204.76"
"Defiance","HCAC","1133","1343","183","332","56","2","14","163","434","218","139","38","17","16","8","30","28",".293",".384",".383",".767",".090",".346",".341",".162",".103",".010","182.08"
"Delaware Valley","MAC Freedom","1037","1216","180","293","32","11","7","156","368","187","113","34","14","18","6","47","15",".283",".367",".355",".722",".072",".334",".322",".154",".093",".006","158.59"
"Denison","NCAC","1535","1858","351","446","101","19","36","313","693","315","184","76","26","37","23","72","34",".291",".388",".451",".839",".161",".339",".363",".170",".099",".019","280.36"
"DePauw","NCAC","1225","1461","221","334","64","12","9","190","449","244","160","45","15","16","21","54","32",".273",".373",".367",".740",".094",".329",".331",".167",".110",".006","182.78"
"DeSales","MAC Freedom","1403","1689","283","392","87","10","24","243","571","284","199","37","20","30","18","95","41",".279",".379",".407",".786",".128",".330",".345",".168",".118",".014","233.65"
"Dickinson","Centennial","1132","1315","158","285","60","7","5","138","374","258","132","26","11","14","11","27","28",".252",".341",".330",".671",".079",".318",".302",".196",".100",".004","136.09"
"Dominican (IL)","NACC","1153","1397","179","293","72","3","11","159","404","220","134","84","14","12","8","20","25",".254",".369",".350",".719",".096",".301",".327",".157",".096",".008","166.40"
"Drew","Landmark","1319","1603","248","379","75","7","14","216","510","256","175","57","26","26","18","42","30",".287",".387",".387",".774",".099",".340",".343",".160",".109",".009","217.44"
"Dubuque","American Rivers","1488","1745","303","468","92","15","10","263","620","259","152","46","24","35","25","52","37",".315",".389",".417",".806",".102",".368",".351",".148",".087",".006","250.99"
"Earlham","HCAC","1231","1464","205","329","50","9","9","181","424","279","162","41","14","16","25","129","15",".267",".367",".344",".711",".077",".334",".321",".191",".111",".006","189.31"
"East Tex. Baptist","ASC","1312","1588","198","342","52","11","17","164","467","254","154","62","20","40","19","89","21",".261",".360",".356",".716",".095",".306",".317",".160",".097",".011","197.14"
"East. Mennonite","ODAC","1274","1497","188","322","54","7","20","164","450","252","146","39","13","25","9","42","31",".253",".344",".353",".697",".100",".298",".311",".168",".098",".013","169.00"
"Eastern","MAC Freedom","1115","1294","203","312","49","3","15","168","412","226","129","21","19","10","12","46","15",".280",".360",".370",".730",".090",".333",".325",".175",".100",".012","166.03"
"Eastern Conn. St.","Little East","1396","1667","275","384","67","9","18","234","523","254","208","36","23","4","16","85","33",".275",".378",".375",".753",".100",".319",".339",".152",".125",".011","224.57"
"Eastern Nazarene","NECC","1038","1239","175","294","58","1","2","145","360","156","141","32","12","16","14","53","34",".283",".382",".347",".729",".064",".327",".329",".126",".114",".002","154.02"
"Edgewood","NACC","1212","1459","195","315","61","10","8","161","420","318","154","52","11","30","17","58","18",".260",".365",".347",".712",".087",".342",".318",".218",".106",".005","175.34"
"Elizabethtown","Landmark","1394","1623","291","426","96","18","22","249","624","191","146","49","15","19","18","65","33",".306",".387",".448",".835",".142",".338",".364",".118",".090",".014","248.57"
"Elmhurst","CCIW","1308","1534","236","379","68","6","17","213","510","236","146","45","18","17","12","40","30",".290",".376",".390",".766",".100",".337",".340",".154",".095",".011","206.55"
"Elmira","Empire 8","1190","1390","210","315","53","9","6","175","404","260","138","34","10","18","20","67","26",".265",".355",".339",".694",".075",".331",".312",".187",".099",".004","159.93"
"Elms","NECC","1164","1334","133","290","37","6","3","115","348","206","116","30","7","17","7","27","30",".249",".331",".299",".630",".050",".298",".286",".154",".087",".002","127.22"
"Emerson","NEWMAC","960","1110","109","206","18","7","2","94","244","242","93","34","5","18","15","31","23",".215",".305",".254",".559",".040",".283",".258",".218",".084",".002","80.37"
"Emory","UAA","1293","1506","227","363","70","9","7","204","472","236","133","48","14","18","22","64","20",".281",".366",".365",".731",".084",".335",".326",".157",".088",".005","190.91"
"Emory & Henry","ODAC","1120","1294","198","339","60","8","9","168","442","167","86","48","13","27","13","42","28",".303",".373",".395",".768",".092",".345",".336",".129",".066",".007","174.50"
"Endicott","CCC","1378","1624","259","375","64","8","24","223","527","204","152","51","19","24","30","106","32",".272",".361",".382",".743",".110",".300",".329",".126",".094",".015","208.82"
"Eureka","SLIAC","962","1136","153","252","49","6","13","132","352","156","128","19","8","19","17","38","18",".262",".357",".366",".723",".104",".298",".321",".137",".113",".011","136.13"
"Farmingdale St.","Skyline","1108","1314","184","320","45","15","8","155","419","168","115","19","13","59","22","68","22",".289",".362",".378",".740",".089",".330",".316",".128",".088",".006","166.69"
"FDU- Florham","MAC Freedom","1168","1394","198","304","54","7","15","164","417","237","170","31","14","11","7","30","26",".260",".365",".357",".722",".097",".311",".326",".170",".122",".011","170.30"
"Ferrum","ODAC","1421","1644","253","394","57","6","13","216","502","281","150","38","13","22","22","79","20",".277",".359",".353",".712",".076",".334",".318",".171",".091",".008","203.58"
"Finlandia","WIAC","771","896","106","174","34","3","6","86","232","214","79","20","7","19","6","23","14",".226",".311",".301",".612",".075",".301",".275",".239",".088",".007","78.34"
"Fitchburg St.","MASCAC","950","1177","152","240","48","12","8","134","336","199","161","41","13","12","9","29","17",".253",".379",".354",".733",".101",".307",".332",".169",".137",".007","148.81"
"Fontbonne","SLIAC","1277","1459","221","378","72","6","14","192","504","191","99","51","9","23","7","57","30",".296",".368",".395",".763",".099",".337",".336",".131",".068",".010","198.20"
"Framingham St.","MASCAC","1203","1404","233","323","68","7","26","205","483","322","135","46","19","1","15","48","12",".268",".359",".401",".760",".133",".340",".339",".229",".096",".019","187.81"
"Franklin","HCAC","1574","1949","457","553","94","9","67","395","866","273","271","65","23","16","20","76","30",".351",".460",".550","1.010",".199",".387",".436",".140",".139",".034","402.39"
"Franklin & Marshall","Centennial","1377","1628","264","412","91","12","13","233","566","240","145","55","23","28","15","49","28",".299",".383",".411",".794",".112",".348",".347",".147",".089",".008","231.28"
"Fredonia","SUNYAC","1011","1160","169","298","42","7","3","138","363","187","95","28","11","15","14","32","26",".295",".368",".359",".727",".064",".355",".324",".161",".082",".003","143.42"
"Frostburg St.","CAC","1316","1598","293","401","80","6","25","263","568","239","201","39","19","23","10","50","26",".305",".407",".432",".839",".127",".351",".368",".150",".126",".016","251.23"
"Gallaudet","NEAC","1216","1465","214","311","58","23","2","170","421","234","165","47","17","20","15","91","25",".256",".362",".346",".708",".090",".310",".318",".160",".113",".001","180.26"
"Geneva","PAC","1098","1319","256","354","61","15","8","226","469","177","148","41","20","12","10","40","18",".322",".415",".427",".842",".105",".371",".372",".134",".112",".006","214.99"
"George Fox","NWC","1516","1838","305","452","85","6","27","277","630","249","183","66","29","44","17","50","30",".298",".391",".416",".807",".117",".335",".351",".135",".100",".015","267.22"
"Gettysburg","Centennial","1199","1361","209","345","61","10","9","185","453","226","101","34","9","18","11","40","24",".288",".357",".378",".735",".090",".345",".325",".166",".074",".007","172.23"
"Gordon","CCC","1067","1263","171","297","42","10","6","147","377","247","112","54","12","18","23","59","24",".278",".372",".353",".725",".075",".352",".325",".196",".089",".005","156.26"
"Greensboro","USA South","1242","1492","233","363","64","2","6","198","449","212","149","57","19","25","18","34","35",".292",".388",".362",".750",".069",".342",".335",".142",".100",".004","191.70"
"Greenville","SLIAC","1427","1637","270","435","84","15","21","238","612","300","148","26","18","18","19","71","30",".305",".376",".429",".805",".124",".368",".352",".183",".090",".013","239.61"
"Grinnell","MWC","1292","1531","263","389","79","8","26","225","562","239","131","66","14","28","10","69","27",".301",".390",".435",".825",".134",".349",".360",".156",".086",".017","234.44"
"Grove City","PAC","1089","1289","187","311","49","3","1","162","369","194","140","28","18","14","7","26","30",".286",".376",".339",".715",".053",".340",".322",".151",".109",".001","157.21"
"Guilford","ODAC","1350","1574","238","394","64","8","8","206","498","187","139","40","14","31","11","30","47",".292",".371",".369",".740",".077",".330",".327",".119",".088",".005","195.09"
"Gust. Adolphus","MIAC","1078","1258","196","303","65","8","14","168","426","183","116","33","13","18","13","31","17",".281",".365",".395",".760",".114",".323",".335",".145",".092",".011","165.51"
